id,SalePrice
1461,104831.3365
1462,149915.287
1463,176228.2078
1464,189010.3937
1465,211836.9473
1466,169816.2482
1467,183888.0156
1468,157639.5523
1469,207547.0794
1470,122089.1867
1471,150152.2597
1472,99874.49846
1473,88543.98691
1474,138947.133
1475,99761.14731
1476,368489.9764
1477,256999.1715
1478,339990.1266
1479,328510.6397
1480,450946.1224
1481,312031.2844
1482,214397.2049
1483,171680.1556
1484,164496.6027
1485,200717.4837
1486,189745.5952
1487,337483.2604
1488,222140.7217
1489,200559.8423
1490,252311.006
1491,197932.0784
1492,104935.0346
1493,214224.5288
1494,327420.2586
1495,291416.7354
1496,244429.2227
1497,167798.5951
1498,177415.8637
1499,165494.7929
1500,153547.8276
1501,191025.2433
1502,136416.8553
1503,299256.5162
1504,239923.736
1505,225439.425
1506,186506.1673
1507,238367.2649
1508,194850.9389
1509,156514.0892
1510,144345.704
1511,156879.5728
1512,168862.4101
1513,160678.3796
1514,151591.6661
1515,201455.7195
1516,162476.0097
1517,169716.9841
1518,113401.0839
1519,204330.1734
1520,122830.2044
1521,123963.0107
1522,187250.6831
1523,107116.3941
1524,121524.9765
1525,115442.49
1526,107926.2505
1527,110000.5805
1528,131032.0603
1529,160960.4268
1530,205878.8917
1531,143811.0417
1532,98923.53203
1533,146507.2167
1534,118767.4153
1535,135359.9508
1536,90789.96842
1537,45088.06
1538,148329.436
1539,218396.2763
1540,126332.699
1541,135062.7776
1542,149554.8926
1543,166819.4895
1544,85412.54717
1545,125912.4771
1546,149137.0403
1547,135458.8361
1548,153396.1629
1549,133530.8074
1550,151689.1839
1551,105879.7547
1552,173041.9329
1553,148677.253
1554,121749.4063
1555,144682.8825
1556,77338.27739
1557,116063.3781
1558,98683.52457
1559,64211.55385
1560,129740.9844
1561,140206.7272
1562,131211.0021
1563,131796.3676
1564,143147.925
1565,148715.2141
1566,227256.6364
1567,78515.9241
1568,224158.6471
1569,124840.2433
1570,130509.1476
1571,74561.61104
1572,134845.171
1573,225161.5323
1574,135387.9075
1575,231697.95
1576,230143.2795
1577,185439.7456
1578,165659.1046
1579,140142.5123
1580,193289.4443
1581,159007.528
1582,144703.1906
1583,267152.5992
1584,218611.6104
1585,139177.8808
1586,61346.08191
1587,115634.3218
1588,161761.6981
1589,98944.5736
1590,122705.3814
1591,84947.83805
1592,122327.6021
1593,147676.3155
1594,157224.1535
1595,119139.3507
1596,219964.5696
1597,210739.8101
1598,223298.757
1599,178354.2579
1600,163321.5988
1601,48277.75288
1602,121562.7671
1603,84517.44073
1604,271376.6703
1605,225879.9897
1606,156789.0564
1607,153954.2134
1608,211079.2246
1609,183571.6577
1610,152226.5787
1611,137251.916
1612,182141.6438
1613,157697.8356
1614,141146.4692
1615,93260.39209
1616,65984.26427
1617,77870.24701
1618,132972.383
1619,146682.668
1620,169853.0673
1621,123472.7327
1622,147230.9702
1623,248089.9149
1624,190226.2781
1625,113717.9154
1626,169766.6425
1627,183577.6718
1628,279054.257
1629,192648.7361
1630,344451.0037
1631,267240.7985
1632,248571.625
1633,194973.2213
1634,184816.9482
1635,175016.7693
1636,148485.8249
1637,194657.6604
1638,168469.8251
1639,180030.9176
1640,234985.7284
1641,180976.3449
1642,263793.4519
1643,209355.1464
1644,238521.5666
1645,215410.3562
1646,164140.8133
1647,163555.4211
1648,126679.0207
1649,131755.1625
1650,119186.4253
1651,116550.889
1652,100944.2585
1653,100617.8939
1654,144578.3285
1655,134618.5323
1656,141336.2131
1657,159232.7583
1658,149717.0764
1659,123858.1729
1660,149027.9576
1661,428826.4114
1662,387643.8767
1663,380935.2159
1664,525395.735
1665,337881.9358
1666,317275.764
1667,340543.8185
1668,369286.7775
1669,335361.6275
1670,365991.3668
1671,262344.6232
1672,389329.6423
1673,300418.1783
1674,249519.467
1675,202189.7027
1676,206776.5804
1677,215012.5917
1678,446389.9034
1679,387558.6117
1680,334709.8322
1681,286189.8766
1682,330394.8529
1683,192404.8145
1684,175352.9375
1685,174329.9065
1686,167846.2681
1687,173598.3648
1688,180219.0149
1689,187320.7964
1690,193263.9296
1691,185934.1071
1692,267646.161
1693,190253.5665
1694,183809.4868
1695,181117.9518
1696,250764.4858
1697,187013.4342
1698,335530.5663
1699,333738.6432
1700,280465.2639
1701,286517.1888
1702,234811.9036
1703,239851.7952
1704,261203.9359
1705,260211.692
1706,219063.9591
1707,233178.1915
1708,203675.7674
1709,246938.0772
1710,225040.3808
1711,281787.7525
1712,246130.8125
1713,277200.68
1714,217264.4886
1715,214458.5225
1716,178004.9984
1717,185568.8858
1718,147794.1482
1719,225438.2971
1720,247570.7738
1721,150718.3061
1722,116363.9384
1723,151824.0344
1724,211012.3548
1725,243519.9921
1726,188114.5477
1727,167189.2069
1728,165203.9286
1729,176590.4351
1730,150039.6861
1731,118005.6314
1732,126291.5712
1733,106322.5831
1734,122397.7354
1735,103820.1679
1736,93301.11362
1737,284996.4968
1738,278511.8277
1739,251148.1171
1740,200552.8195
1741,178704.6135
1742,177700.1459
1743,171523.2342
1744,341166.1159
1745,228579.1239
1746,221131.7019
1747,223839.7297
1748,219212.3941
1749,140066.1934
1750,119551.7055
1751,226378.9436
1752,114733.1196
1753,152462.3264
1754,193675.7835
1755,167096.019
1756,144786.9888
1757,122556.2019
1758,147660.9664
1759,166006.1286
1760,157937.9009
1761,144025.3176
1762,194779.0892
1763,183292.8203
1764,117352.4972
1765,171060.4118
1766,187917.727
1767,208557.9239
1768,135439.7634
1769,165933.1076
1770,157747.5996
1771,125351.8048
1772,132542.5509
1773,117492.7572
1774,143604.6929
1775,148751.9086
1776,146198.323
1777,112601.6254
1778,143745.4019
1779,130774.1129
1780,162449.524
1781,126053.3894
1782,66554.03707
1783,138626.0234
1784,92166.78526
1785,133711.3827
1786,131760.8908
1787,152916.8773
1788,38401.69874
1789,101192.6851
1790,68981.22349
1791,191473.723
1792,158770.7309
1793,126854.4671
1794,164718.306
1795,134290.8206
1796,150387.8419
1797,112998.4482
1798,127856.0052
1799,105402.4002
1800,133590.8162
1801,121255.4099
1802,117292.3569
1803,154909.8898
1804,113859.2152
1805,135739.9395
1806,120533.0774
1807,149560.7339
1808,127629.2895
1809,137024.344
1810,140388.0108
1811,88501.94812
1812,110893.7452
1813,127950.7242
1814,110503.3406
1815,44739.81655
1816,91098.44459
1817,108926.2087
